iter	Logloss
0	0.689613692
1	0.6854445557
2	0.6828500806
3	0.6792728967
4	0.6761210388
5	0.6720120999
6	0.6681911124
7	0.6651661071
8	0.6613050559
9	0.6580123734
10	0.6538288058
11	0.6510574831
12	0.6483177913
13	0.6458771353
14	0.6432208706
15	0.6402563783
16	0.6374222679
17	0.6348078484
18	0.6323277231
19	0.6300866551
20	0.6282431248
21	0.6252244993
22	0.6221365272
23	0.6199345363
24	0.6172838875
25	0.6149036354
26	0.6127112395
27	0.6104840613
28	0.6073554897
29	0.6045343883
30	0.6022370934
31	0.6001020001
32	0.5979422374
33	0.5963271407
34	0.5938427469
35	0.5920008366
36	0.5897082117
37	0.5870463911
38	0.5842141633
39	0.5826799175
40	0.5808663615
41	0.5788139984
42	0.5765826965
43	0.5746643698
44	0.5722390588
45	0.5701164793
46	0.5683737575
47	0.5659354339
48	0.5642441553
49	0.5622921936
50	0.5608079996
51	0.5586520652
52	0.5567987576
53	0.55461644
54	0.5523121288
55	0.5508026489
56	0.5489663657
57	0.5465878955
58	0.54490007
59	0.5430668944
60	0.5415344646
61	0.5397753505
62	0.5379656646
63	0.5362836317
64	0.5346717133
65	0.5327038285
66	0.5313477236
67	0.5297689342
68	0.5284101939
69	0.5266550474
70	0.5250987529
71	0.5237702877
72	0.5223062988
73	0.5208487993
74	0.5194868531
75	0.5179410054
76	0.5171369035
77	0.5158720637
78	0.5143194515
79	0.512895831
80	0.5115636188
81	0.5108955381
82	0.5092862061
83	0.5078863039
84	0.5063683671
85	0.5051044858
86	0.5041964154
87	0.5032002858
88	0.5023252421
89	0.5008754557
90	0.4999682287
91	0.4988348088
92	0.4976610967
93	0.496627358
94	0.4955113638
95	0.4944434066
96	0.4934577684
97	0.4922646746
98	0.4913257231
99	0.4903061236
100	0.4892841236
101	0.4882177644
102	0.4866513247
103	0.4855611397
104	0.4846449704
105	0.4833683628
106	0.4823812035
107	0.4814275981
108	0.4803894193
109	0.4790314991
110	0.4783139614
111	0.477271089
112	0.4759938745
113	0.4747707209
114	0.4736281627
115	0.4729189394
116	0.471995665
117	0.4711623607
118	0.470190583
119	0.4693752624
120	0.4682852843
121	0.4670343197
122	0.4660454226
123	0.4651770901
124	0.4644024441
125	0.4636476784
126	0.4627571249
127	0.4619473854
128	0.4609972908
129	0.4600823393
130	0.4592186871
131	0.4584743547
132	0.457759978
133	0.4571068924
134	0.4562270195
135	0.4551255992
136	0.4545792853
137	0.4537526388
138	0.4528592672
139	0.4519991627
140	0.451298815
141	0.450591843
142	0.4498829371
143	0.4491980605
144	0.448362275
145	0.4472771457
146	0.4465875226
147	0.4456790215
148	0.4447076088
149	0.4439913729
150	0.44295833
151	0.4420217106
