iter	Passed	Remaining
0	152	152005
1	157	78831
2	162	54090
3	167	41608
4	170	33920
5	176	29251
6	180	25544
7	183	22811
8	187	20600
9	191	18937
10	195	17555
11	198	16305
12	202	15405
13	206	14521
14	210	13805
15	213	13118
16	218	12650
17	222	12164
18	226	11674
19	229	11229
20	232	10853
21	235	10468
22	238	10137
23	241	9835
24	248	9675
25	251	9424
26	257	9290
27	260	9053
28	264	8850
29	267	8635
30	269	8438
31	274	8311
32	278	8169
33	283	8055
34	287	7920
35	290	7783
36	293	7631
37	295	7489
38	300	7409
39	303	7288
40	306	7161
41	309	7062
42	312	6963
43	316	6867
44	319	6770
45	321	6675
46	324	6586
47	328	6511
48	333	6473
49	336	6396
50	340	6337
51	344	6273
52	346	6193
53	350	6131
54	353	6070
55	355	5996
56	360	5961
57	363	5897
58	366	5847
59	369	5794
60	373	5753
61	377	5707
62	379	5645
63	385	5635
64	388	5588
65	392	5548
66	398	5545
67	403	5525
68	406	5481
69	409	5434
70	412	5392
71	414	5347
72	417	5303
73	420	5260
74	425	5246
75	429	5218
76	433	5197
77	437	5166
78	441	5144
79	444	5112
80	448	5088
81	453	5081
82	457	5051
83	460	5024
84	463	4988
85	465	4952
86	468	4919
87	472	4894
88	475	4863
89	478	4834
90	481	4805
91	483	4776
92	487	4750
93	490	4730
94	493	4705
95	497	4686
96	501	4666
97	504	4647
98	508	4626
99	511	4605
100	514	4577
101	517	4560
102	522	4551
103	527	4546
104	531	4529
105	535	4513
106	538	4495
107	542	4483
108	547	4474
109	550	4457
110	555	4446
111	558	4429
112	561	4407
113	567	4408
114	570	4393
115	574	4376
116	577	4357
117	579	4334
118	583	4317
119	590	4327
120	592	4306
121	602	4339
122	614	4384
123	619	4377
124	628	4397
125	632	4386
126	636	4373
127	639	4359
128	643	4343
129	646	4327
130	651	4318
131	653	4297
132	656	4281
133	659	4265
134	662	4244
135	665	4226
136	668	4211
137	672	4198
138	675	4185
139	678	4169
140	684	4168
141	688	4162
142	691	4143
143	694	4131
144	699	4127
145	703	4115
146	707	4107
147	710	4089
148	712	4071
149	715	4056
150	718	4039
151	721	4027
152	725	4014
153	727	3998
154	730	3983
155	734	3971
156	736	3955
157	739	3942
158	742	3927
159	745	3914
160	748	3899
161	751	3888
162	755	3877
163	757	3862
164	760	3848
165	763	3835
166	766	3822
167	769	3811
168	772	3797
169	776	3791
170	781	3789
171	785	3780
172	789	3771
173	791	3757
174	794	3744
175	797	3733
176	800	3720
177	803	3711
178	806	3700
179	810	3694
180	816	3692
181	819	3683
182	822	3673
183	826	3665
184	829	3654
185	833	3646
186	836	3638
187	841	3633
188	844	3623
189	847	3614
190	850	3601
191	854	3595
192	857	3586
193	860	3574
194	862	3561
195	867	3557
196	870	3549
197	874	3543
198	877	3532
199	880	3520
200	883	3511
201	887	3504
202	891	3500
203	895	3494
204	900	3490
205	903	3482
206	906	3471
207	910	3467
208	913	3459
209	916	3448
210	920	3440
211	923	3431
212	926	3423
213	929	3413
214	932	3405
215	936	3400
216	940	3394
217	943	3385
218	948	3381
219	952	3376
220	956	3370
221	958	3359
222	961	3349
223	965	3345
224	969	3338
225	974	3335
226	976	3326
227	981	3323
228	984	3315
229	987	3306
230	990	3297
231	992	3286
232	995	3277
233	999	3270
234	1002	3262
235	1005	3255
236	1009	3248
237	1011	3239
238	1014	3230
239	1017	3222
240	1020	3213
241	1023	3205
242	1026	3198
243	1029	3188
244	1032	3181
245	1036	3176
246	1038	3166
247	1042	3161
248	1045	3153
249	1048	3145
250	1052	3140
251	1056	3135
252	1059	3128
253	1062	3120
254	1066	3114
255	1069	3106
256	1073	3104
257	1078	3101
258	1081	3093
259	1086	3090
260	1092	3092
261	1098	3094
262	1102	3090
263	1107	3087
264	1110	3080
265	1114	3074
266	1117	3069
267	1121	3061
268	1123	3053
269	1127	3048
270	1131	3044
271	1135	3038
272	1138	3030
273	1139	3019
274	1142	3013
275	1147	3009
276	1150	3002
277	1154	2997
278	1156	2989
279	1160	2983
280	1162	2975
281	1166	2969
282	1168	2961
283	1172	2955
284	1176	2951
285	1179	2943
286	1185	2944
287	1189	2939
288	1193	2935
289	1197	2931
290	1202	2929
291	1210	2934
292	1215	2932
293	1221	2932
294	1224	2926
295	1229	2923
296	1232	2917
297	1236	2913
298	1244	2918
299	1247	2911
300	1252	2907
301	1256	2903
302	1257	2891
303	1260	2886
304	1265	2884
305	1271	2884
306	1275	2879
307	1279	2875
308	1292	2890
309	1299	2891
310	1306	2893
311	1310	2889
312	1313	2883
313	1316	2876
314	1320	2870
315	1323	2863
316	1326	2857
317	1329	2851
318	1332	2845
319	1338	2843
320	1342	2838
321	1346	2836
322	1349	2829
323	1352	2822
324	1356	2816
325	1359	2810
326	1363	2806
327	1367	2800
328	1370	2795
329	1375	2792
330	1378	2785
331	1381	2780
332	1385	2774
333	1389	2771
334	1392	2764
335	1395	2757
336	1398	2751
337	1402	2746
338	1406	2743
339	1413	2743
340	1416	2737
341	1419	2731
342	1422	2725
343	1426	2719
344	1429	2713
345	1432	2707
346	1435	2701
347	1438	2695
348	1442	2691
349	1445	2685
350	1448	2678
351	1451	2671
352	1455	2667
353	1458	2661
354	1461	2654
355	1464	2649
356	1469	2647
357	1473	2641
358	1476	2636
359	1479	2630
360	1484	2626
361	1488	2622
